Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-11-30	2024-09	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	GB	0	0.02722609
2024-11-30	2024-09	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1106	100	Song	US	0	7.42934013
2024-11-30	2024-09	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	411	100	Song	US	0	3.01780561
2024-11-30	2024-09	Apple Music	ZONE A0	LUNA	QZTB92494812	198891507125	51	100	Song	US	0	0.23844689
2024-11-30	2024-09	Apple Music	PIG1987	PERVERSION	QZTBF2439187	198888700416	23	100	Song	US	0	0.15237085
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	55	100	Song	US	0	0.17312150
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	24	100	Song	IS	0	0.02519149
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	GB	0	0.00413992
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	NO	0	0.01034243
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	0	100	Song	PR	0	0.00132078
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	DE	0	0.00952759
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	FR	0	0.00148312
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	LUNA	QZTB92494812	198891507125	3	100	Song	DE	0	0.00015026
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	LUNA	QZTB92494812	198891507125	6	100	Song	US	0	0.03755923
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	LUNA	QZTB92494812	198891507125	5	100	Song	IS	0	0.00598974
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	GATEWAY	QZTBF2441974	198888661472	12	100	Song	US	0	0.06811159
2024-11-27	2024-10	YouTube (Ads)	PIG1987	KEYGEN	QZWFK2497196	198884932026	1	100	Song	BR	0	0.00020384
2024-11-27	2024-10	YouTube (Ads)	PIG1987	KEYGEN	QZWFK2497196	198884932026	8	100	Song	RS	0	0.00328409
2024-11-27	2024-10	YouTube (Ads)	PIG1987	KEYGEN	QZWFK2497196	198884932026	1	100	Song	TR	0	0.00034202
2024-11-27	2024-10	YouTube (Ads)	PIG1987	KEYGEN	QZWFK2497196	198884932026	16	100	Song	US	0	0.02738176
2024-11-27	2024-10	YouTube (Ads)	PIG1987	KEYGEN	QZWFK2497196	198884932026	0	100	Song	PY	0	0.00015498
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	DE	0	0.01727101
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	4	100	Song	CL	0	0.00127087
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	GB	0	0.00146683
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	337	100	Song	US	0	0.89525255
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	PY	0	0.00051013
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	4	100	Song	AR	0	0.00187137
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	4	100	Song	BR	0	0.00511027
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	BE	0	0.00195700
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	4	100	Song	LT	0	0.00245610
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	2	100	Song	PR	0	0.00022276
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	IL	0	0.00259743
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	2	100	Song	KR	0	0.00324679
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	9	100	Song	PE	0	0.00135598
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	2	100	Song	KZ	0	0.00402749
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	10	100	Song	ES	0	0.02504544
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	12	100	Song	FR	0	0.02380451
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	2	100	Song	JP	0	0.00979868
